                    +-------------------------------------+
                    |        Program final_project        |
                    | Author: Jose Antonio Quinonero Gris |
                    +-------------------------------------+

                                 +-----------+
+--------------------------------|   INPUT   |--------------------------------+
                                 +-----------+
Model: Logistic                                                                        
Method: Taylor                                                                          
Number of terms of Taylor expansion:2

Initial time, t_0 (arbitrary units):       0.00
Time of simulation (arbitrary units):     160.00
Time step (arbitrary units):       0.01
Number of points: 27587

Constants:
alpha =   0.400000
alphaprime =   0.004000
beta =   0.100000
kappa =   1.100000
kappaprime =   0.011000
lambda =   0.400000

                                 +------------+
+--------------------------------|   OUTPUT   |-------------------------------+
                                 +------------+
Results:
Number of iterations: 27587
Total time of simulation:          160.00

-------------------------------------------------------------------------------
                                 Taylor                     Error vs RK4
                        -----------------------        -----------------------
           t            Prey           Predator        Prey           Predator
-------------------------------------------------------------------------------
          0.000         10.000         10.000          0.000          0.000
          0.006          9.825         10.037          0.000          0.000
          0.012          9.653         10.073          0.000          0.000
          0.017          9.483         10.109          0.000          0.000
          0.023          9.316         10.143          0.000          0.000
          0.029          9.150         10.177          0.001          0.000
          0.035          8.987         10.210          0.001          0.000
          0.041          8.827         10.242          0.001          0.000
          0.046          8.668         10.273          0.001          0.000
          0.052          8.512         10.303          0.001          0.000
          0.058          8.358         10.332          0.001          0.000
          0.064          8.207         10.361          0.001          0.000
          0.070          8.058         10.389          0.002          0.000
          0.075          7.911         10.416          0.002          0.000
          0.081          7.766         10.442          0.002          0.001
          0.087          7.624         10.467          0.002          0.001
          0.093          7.483         10.492          0.002          0.001
          0.099          7.345         10.516          0.002          0.001
          0.104          7.210         10.539          0.003          0.001
          0.110          7.076         10.561          0.003          0.001
          0.116          6.945         10.582          0.003          0.001
          0.122          6.815         10.603          0.003          0.001
          0.128          6.688         10.623          0.003          0.001
          0.133          6.563         10.642          0.003          0.001
          0.139          6.440         10.660          0.004          0.001
          0.145          6.319         10.678          0.004          0.001
          0.151          6.201         10.695          0.004          0.001
          0.157          6.084         10.711          0.004          0.001
          0.162          5.969         10.727          0.004          0.001
          0.168          5.856         10.742          0.004          0.001
          0.174          5.746         10.756          0.005          0.001
          0.180          5.637         10.770          0.005          0.001
          0.186          5.530         10.783          0.005          0.001
          0.191          5.425         10.795          0.005          0.001
          0.197          5.322         10.807          0.005          0.001
          0.203          5.220         10.818          0.006          0.001
          0.209          5.121         10.828          0.006          0.001
          0.215          5.023         10.838          0.006          0.001
          0.220          4.928         10.847          0.006          0.001
          0.226          4.833         10.855          0.006          0.001
          0.232          4.741         10.863          0.007          0.001
          0.238          4.650         10.871          0.007          0.001
          0.244          4.561         10.878          0.007          0.001
          0.249          4.474         10.884          0.007          0.001
          0.255          4.388         10.890          0.007          0.001
          0.261          4.304         10.895          0.008          0.001
          0.267          4.222         10.900          0.008          0.001
          0.273          4.141         10.904          0.008          0.001
          0.278          4.061         10.907          0.008          0.001
          0.284          3.983         10.911          0.008          0.001
          0.290          3.907         10.913          0.009          0.001
          0.296          3.832         10.915          0.009          0.001
          0.302          3.758         10.917          0.009          0.001
          0.307          3.686         10.918          0.009          0.001
          0.313          3.616         10.919          0.010          0.001
          0.319          3.546         10.919          0.010          0.001
          0.325          3.478         10.919          0.010          0.001
          0.331          3.412         10.919          0.010          0.001
          0.336          3.346         10.918          0.010          0.001
          0.342          3.282         10.916          0.011          0.001
          0.348          3.219         10.915          0.011          0.001
          0.354          3.158         10.912          0.011          0.001
          0.360          3.097         10.910          0.011          0.001
          0.365          3.038         10.907          0.011          0.001
          0.371          2.980         10.904          0.012          0.001
          0.377          2.923         10.900          0.012          0.001
          0.383          2.867         10.896          0.012          0.001
          0.389          2.812         10.891          0.012          0.001
          0.394          2.759         10.887          0.012          0.001
          0.400          2.706         10.882          0.013          0.001
          0.406          2.655         10.876          0.013          0.001
          0.412          2.604         10.870          0.013          0.001
          0.418          2.555         10.864          0.013          0.001
          0.423          2.506         10.858          0.014          0.001
          0.429          2.459         10.851          0.014          0.001
          0.435          2.412         10.844          0.014          0.001
          0.441          2.366         10.837          0.014          0.001
          0.447          2.322         10.830          0.014          0.001
          0.452          2.278         10.822          0.015          0.001
          0.458          2.235         10.814          0.015          0.001
          0.464          2.193         10.805          0.015          0.001
          0.470          2.151         10.797          0.015          0.001
          0.476          2.111         10.788          0.015          0.001
          0.481          2.071         10.779          0.016          0.001
          0.487          2.032         10.769          0.016          0.001
          0.493          1.994         10.760          0.016          0.001
          0.499          1.957         10.750          0.016          0.001
