 +--------------------+
 | Program exercise13 |
 +--------------------+

 ----------------------------------------
         n        1/n**2          error
 ----------------------------------------
         1       1.000000       0.644934
         2       1.250000       0.394934
         3       1.361111       0.283823
         4       1.423611       0.221323
         5       1.463611       0.181323
         6       1.491389       0.153545
         7       1.511797       0.133137
         8       1.527422       0.117512
         9       1.539768       0.105166
        10       1.549768       0.095166
        11       1.558032       0.086902
        12       1.564977       0.079957
        13       1.570894       0.074040
        14       1.575996       0.068938
        15       1.580440       0.064494
        16       1.584347       0.060588
        17       1.587807       0.057127
        18       1.590893       0.054041
        19       1.593663       0.051271
        20       1.596163       0.048771
        21       1.598431       0.046503
        22       1.600497       0.044437
        23       1.602387       0.042547
        24       1.604123       0.040811
        25       1.605723       0.039211
        26       1.607203       0.037731
        27       1.608574       0.036360
        28       1.609850       0.035084
        29       1.611039       0.033895
        30       1.612150       0.032784
        31       1.613191       0.031743
        32       1.614167       0.030767
        33       1.615086       0.029849
        34       1.615951       0.028983
        35       1.616767       0.028167
        36       1.617539       0.027396
        37       1.618269       0.026665
        38       1.618962       0.025973
        39       1.619619       0.025315
        40       1.620244       0.024690
        41       1.620839       0.024095
        42       1.621406       0.023528
        43       1.621947       0.022987
        44       1.622463       0.022471
        45       1.622957       0.021977
        46       1.623430       0.021505
        47       1.623882       0.021052
        48       1.624316       0.020618
        49       1.624733       0.020201
        50       1.625133       0.019801
        51       1.625517       0.019417
        52       1.625887       0.019047
        53       1.626243       0.018691
        54       1.626586       0.018348
        55       1.626917       0.018018
        56       1.627235       0.017699
        57       1.627543       0.017391
        58       1.627840       0.017094
        59       1.628128       0.016806
        60       1.628406       0.016529
        61       1.628674       0.016260
        62       1.628934       0.016000
        63       1.629186       0.015748
        64       1.629431       0.015504
        65       1.629667       0.015267
        66       1.629897       0.015037
        67       1.630120       0.014815
        68       1.630336       0.014598
        69       1.630546       0.014388
        70       1.630750       0.014184
        71       1.630948       0.013986
        72       1.631141       0.013793
        73       1.631329       0.013605
        74       1.631511       0.013423
        75       1.631689       0.013245
        76       1.631862       0.013072
        77       1.632031       0.012903
        78       1.632195       0.012739
        79       1.632356       0.012578
        80       1.632512       0.012422
        81       1.632664       0.012270
        82       1.632813       0.012121
        83       1.632958       0.011976
        84       1.633100       0.011834
        85       1.633238       0.011696
        86       1.633374       0.011561
        87       1.633506       0.011428
        88       1.633635       0.011299
        89       1.633761       0.011173
        90       1.633884       0.011050
        91       1.634005       0.010929
        92       1.634123       0.010811
        93       1.634239       0.010695
        94       1.634352       0.010582
        95       1.634463       0.010471
        96       1.634571       0.010363
        97       1.634678       0.010256
        98       1.634782       0.010152
        99       1.634884       0.010050
       100       1.634984       0.009950
       101       1.635082       0.009852
       102       1.635178       0.009756
       103       1.635272       0.009662
       104       1.635365       0.009569
       105       1.635455       0.009479
       106       1.635544       0.009390
       107       1.635632       0.009302
       108       1.635718       0.009217
       109       1.635802       0.009132
       110       1.635884       0.009050
       111       1.635966       0.008969
       112       1.636045       0.008889
       113       1.636124       0.008811
       114       1.636200       0.008734
       115       1.636276       0.008658
       116       1.636350       0.008584
       117       1.636423       0.008511
       118       1.636495       0.008439
       119       1.636566       0.008368
       120       1.636635       0.008299
       121       1.636704       0.008230
       122       1.636771       0.008163
       123       1.636837       0.008097
       124       1.636902       0.008032
       125       1.636966       0.007968
       126       1.637029       0.007905
       127       1.637091       0.007843
       128       1.637152       0.007782
       129       1.637212       0.007722
       130       1.637271       0.007663
       131       1.637330       0.007605
       132       1.637387       0.007547
       133       1.637443       0.007491
       134       1.637499       0.007435
       135       1.637554       0.007380
       136       1.637608       0.007326
       137       1.637661       0.007273
       138       1.637714       0.007220
       139       1.637766       0.007168
       140       1.637817       0.007117
       141       1.637867       0.007067
       142       1.637917       0.007018
       143       1.637965       0.006969
       144       1.638014       0.006920
       145       1.638061       0.006873
       146       1.638108       0.006826
       147       1.638154       0.006780
       148       1.638200       0.006734
       149       1.638245       0.006689
       150       1.638290       0.006644
       151       1.638333       0.006601
       152       1.638377       0.006557
       153       1.638419       0.006515
       154       1.638462       0.006472
       155       1.638503       0.006431
       156       1.638544       0.006390
       157       1.638585       0.006349
       158       1.638625       0.006309
       159       1.638664       0.006270
       160       1.638704       0.006231
       161       1.638742       0.006192
       162       1.638780       0.006154
       163       1.638818       0.006116
       164       1.638855       0.006079
       165       1.638892       0.006042
       166       1.638928       0.006006
       167       1.638964       0.005970
       168       1.638999       0.005935
       169       1.639034       0.005900
       170       1.639069       0.005865
       171       1.639103       0.005831
       172       1.639137       0.005797
       173       1.639170       0.005764
       174       1.639203       0.005731
       175       1.639236       0.005698
       176       1.639268       0.005666
       177       1.639300       0.005634
       178       1.639332       0.005602
       179       1.639363       0.005571
       180       1.639394       0.005540
       181       1.639424       0.005510
       182       1.639455       0.005479
       183       1.639484       0.005450
       184       1.639514       0.005420
       185       1.639543       0.005391
       186       1.639572       0.005362
       187       1.639601       0.005333
       188       1.639629       0.005305
       189       1.639657       0.005277
       190       1.639685       0.005249
       191       1.639712       0.005222
       192       1.639739       0.005195
       193       1.639766       0.005168
       194       1.639793       0.005141
       195       1.639819       0.005115
       196       1.639845       0.005089
       197       1.639871       0.005063
       198       1.639896       0.005038
       199       1.639922       0.005013
       200       1.639947       0.004988
       201       1.639971       0.004963
       202       1.639996       0.004938
       203       1.640020       0.004914
       204       1.640044       0.004890
       205       1.640068       0.004866
       206       1.640091       0.004843
       207       1.640115       0.004819
       208       1.640138       0.004796
       209       1.640161       0.004773
       210       1.640183       0.004751
       211       1.640206       0.004728
       212       1.640228       0.004706
       213       1.640250       0.004684
       214       1.640272       0.004662
       215       1.640294       0.004640
       216       1.640315       0.004619
       217       1.640336       0.004598
       218       1.640357       0.004577
       219       1.640378       0.004556
       220       1.640399       0.004535
       221       1.640419       0.004515
       222       1.640440       0.004494
       223       1.640460       0.004474
       224       1.640480       0.004454
       225       1.640499       0.004435
       226       1.640519       0.004415
       227       1.640538       0.004396
       228       1.640558       0.004376
       229       1.640577       0.004357
       230       1.640596       0.004338
       231       1.640614       0.004320
       232       1.640633       0.004301
       233       1.640651       0.004283
       234       1.640670       0.004264
       235       1.640688       0.004246
       236       1.640706       0.004228
       237       1.640724       0.004211
       238       1.640741       0.004193
       239       1.640759       0.004175
       240       1.640776       0.004158
       241       1.640793       0.004141
       242       1.640810       0.004124
       243       1.640827       0.004107
       244       1.640844       0.004090
       245       1.640861       0.004073
       246       1.640877       0.004057
       247       1.640894       0.004040
       248       1.640910       0.004024
       249       1.640926       0.004008
       250       1.640942       0.003992
       251       1.640958       0.003976
       252       1.640974       0.003960
       253       1.640989       0.003945
       254       1.641005       0.003929
       255       1.641020       0.003914
       256       1.641035       0.003899
       257       1.641051       0.003883
       258       1.641066       0.003868
       259       1.641081       0.003854
       260       1.641095       0.003839
       261       1.641110       0.003824
       262       1.641125       0.003810
       263       1.641139       0.003795
       264       1.641153       0.003781
       265       1.641168       0.003766
       266       1.641182       0.003752
       267       1.641196       0.003738
       268       1.641210       0.003724
       269       1.641223       0.003711
       270       1.641237       0.003697
       271       1.641251       0.003683
       272       1.641264       0.003670
       273       1.641278       0.003656
       274       1.641291       0.003643
       275       1.641304       0.003630
       276       1.641317       0.003617
       277       1.641330       0.003604
       278       1.641343       0.003591
       279       1.641356       0.003578
       280       1.641369       0.003565
       281       1.641382       0.003552
       282       1.641394       0.003540
       283       1.641407       0.003527
       284       1.641419       0.003515
       285       1.641431       0.003503
       286       1.641444       0.003490
       287       1.641456       0.003478
       288       1.641468       0.003466
       289       1.641480       0.003454
       290       1.641492       0.003442
       291       1.641504       0.003431
       292       1.641515       0.003419
       293       1.641527       0.003407
       294       1.641538       0.003396
       295       1.641550       0.003384
       296       1.641561       0.003373
       297       1.641573       0.003361
       298       1.641584       0.003350
       299       1.641595       0.003339
       300       1.641606       0.003328
       301       1.641617       0.003317
       302       1.641628       0.003306
       303       1.641639       0.003295
       304       1.641650       0.003284
       305       1.641661       0.003273
       306       1.641671       0.003263
       307       1.641682       0.003252
       308       1.641693       0.003241
       309       1.641703       0.003231
       310       1.641713       0.003221
       311       1.641724       0.003210
       312       1.641734       0.003200
       313       1.641744       0.003190
       314       1.641754       0.003180
       315       1.641764       0.003170
       316       1.641775       0.003160
       317       1.641784       0.003150
       318       1.641794       0.003140
       319       1.641804       0.003130
       320       1.641814       0.003120
       321       1.641824       0.003110
       322       1.641833       0.003101
       323       1.641843       0.003091
       324       1.641852       0.003082
       325       1.641862       0.003072
       326       1.641871       0.003063
       327       1.641881       0.003053
       328       1.641890       0.003044
       329       1.641899       0.003035
       330       1.641908       0.003026
       331       1.641917       0.003017
       332       1.641927       0.003008
       333       1.641936       0.002998
       334       1.641945       0.002990
       335       1.641953       0.002981
       336       1.641962       0.002972
       337       1.641971       0.002963
       338       1.641980       0.002954
