                    +-------------------------------------+
                    |        Program final_project        |
                    | Author: Jose Antonio Quinonero Gris |
                    +-------------------------------------+

                                 +-----------+
+--------------------------------|   INPUT   |--------------------------------+
                                 +-----------+
Model: Logistic                                                                        
Method: ModEuler                                                                        
ME convergence threshold: 0.10E-04

Initial time, t_0 (arbitrary units):       0.00
Time of simulation (arbitrary units):     160.00
Time step (arbitrary units):       0.01
Number of points: 27587

Constants:
alpha =   0.400000
alphaprime =   0.004000
beta =   0.100000
kappa =   1.100000
kappaprime =   0.011000
lambda =   0.400000

                                 +------------+
+--------------------------------|   OUTPUT   |-------------------------------+
                                 +------------+
Results:
Number of iterations: 27587
Total time of simulation:          160.00

-------------------------------------------------------------------------------
                                 ModEuler                     Error vs RK4
                        -----------------------        -----------------------
           t            Prey           Predator        Prey           Predator
-------------------------------------------------------------------------------
          0.000         10.000         10.000          0.000          0.000
          0.006          9.827         10.037          0.000          0.000
          0.012          9.655         10.073          0.000          0.000
          0.017          9.487         10.107          0.000          0.000
          0.023          9.320         10.142          0.000          0.000
          0.029          9.156         10.175          0.000          0.000
          0.035          8.994         10.207          0.000          0.000
          0.041          8.834         10.239          0.000          0.000
          0.046          8.677         10.270          0.000          0.000
          0.052          8.522         10.299          0.000          0.000
          0.058          8.369         10.328          0.000          0.000
          0.064          8.219         10.357          0.000          0.000
          0.070          8.071         10.384          0.000          0.000
          0.075          7.925         10.411          0.000          0.000
          0.081          7.781         10.437          0.000          0.000
          0.087          7.639         10.462          0.000          0.000
          0.093          7.500         10.486          0.000          0.000
          0.099          7.363         10.509          0.000          0.000
          0.104          7.228         10.532          0.000          0.000
          0.110          7.095         10.554          0.000          0.000
          0.116          6.965         10.575          0.000          0.000
          0.122          6.836         10.595          0.000          0.000
          0.128          6.710         10.615          0.000          0.000
          0.133          6.586         10.634          0.000          0.000
          0.139          6.463         10.652          0.000          0.000
          0.145          6.343         10.670          0.000          0.000
          0.151          6.225         10.687          0.000          0.000
          0.157          6.109         10.703          0.000          0.000
          0.162          5.995         10.718          0.000          0.000
          0.168          5.883         10.733          0.000          0.000
          0.174          5.773         10.747          0.000          0.000
          0.180          5.664         10.760          0.000          0.000
          0.186          5.558         10.773          0.000          0.000
          0.191          5.453         10.785          0.000          0.000
          0.197          5.351         10.797          0.000          0.000
          0.203          5.250         10.807          0.000          0.000
          0.209          5.151         10.818          0.000          0.000
          0.215          5.054         10.827          0.000          0.000
          0.220          4.958         10.836          0.000          0.000
          0.226          4.865         10.845          0.000          0.000
          0.232          4.773         10.853          0.000          0.000
          0.238          4.682         10.860          0.000          0.000
          0.244          4.594         10.867          0.000          0.000
          0.249          4.507         10.873          0.000          0.000
          0.255          4.421         10.879          0.000          0.000
          0.261          4.337         10.884          0.000          0.000
          0.267          4.255         10.888          0.000          0.000
          0.273          4.174         10.892          0.000          0.000
          0.278          4.095         10.896          0.000          0.000
          0.284          4.017         10.899          0.000          0.000
          0.290          3.941         10.902          0.000          0.000
          0.296          3.866         10.904          0.000          0.000
          0.302          3.793         10.906          0.000          0.000
          0.307          3.721         10.907          0.000          0.000
          0.313          3.650         10.908          0.000          0.000
          0.319          3.581         10.908          0.000          0.000
          0.325          3.513         10.908          0.000          0.000
          0.331          3.446         10.907          0.000          0.000
          0.336          3.381         10.906          0.000          0.000
          0.342          3.317         10.905          0.000          0.000
          0.348          3.254         10.903          0.000          0.000
          0.354          3.193         10.901          0.000          0.000
          0.360          3.132         10.899          0.000          0.000
          0.365          3.073         10.896          0.000          0.000
          0.371          3.015         10.892          0.000          0.000
          0.377          2.958         10.889          0.000          0.000
          0.383          2.902         10.885          0.000          0.000
          0.389          2.847         10.880          0.000          0.000
          0.394          2.794         10.876          0.000          0.000
          0.400          2.741         10.871          0.000          0.000
          0.406          2.689         10.865          0.000          0.000
          0.412          2.639         10.860          0.000          0.000
          0.418          2.589         10.854          0.000          0.000
          0.423          2.540         10.847          0.000          0.000
          0.429          2.493         10.841          0.000          0.000
          0.435          2.446         10.834          0.000          0.000
          0.441          2.400         10.827          0.000          0.000
          0.447          2.355         10.819          0.000          0.000
          0.452          2.311         10.811          0.000          0.000
          0.458          2.268         10.803          0.000          0.000
          0.464          2.226         10.795          0.000          0.000
          0.470          2.185         10.787          0.000          0.000
          0.476          2.144         10.778          0.000          0.000
          0.481          2.104         10.769          0.000          0.000
          0.487          2.065         10.760          0.000          0.000
          0.493          2.027         10.750          0.000          0.000
          0.499          1.989         10.740          0.000          0.000
