+-------------------------------------+
|        Program final_project        |
| Author: Jose Antonio Quinonero Gris |
+-------------------------------------+

Model: Simple                                                                          
Method: RK4                                                                             

Initial time, t_0 (arbitrary units):       0.00
Time of simulation (arbitrary units):     100.00
Time step (arbitrary units):       0.00
Number of points: 50001

Constants:
alpha =   0.400000
alphaprime =   0.000000
beta =   0.100000
kappa =   1.100000
kappaprime =   0.000000
lambda =   0.400000

Results:
Number of iterations: 50001
Total time of simulation:          100.00

------------------------------------------------
           t            Prey           Predator
------------------------------------------------
           0.00          10.00          10.00
           0.00           9.94          10.01
           0.00           9.88          10.02
           0.01           9.83          10.04
           0.01           9.77          10.05
           0.01           9.71          10.06
           0.01           9.66          10.07
           0.01           9.60          10.08
           0.02           9.54          10.09
           0.02           9.49          10.10
           0.02           9.43          10.11
           0.02           9.38          10.13
           0.02           9.32          10.14
           0.03           9.27          10.15
           0.03           9.21          10.16
           0.03           9.16          10.17
           0.03           9.10          10.18
           0.03           9.05          10.19
           0.04           9.00          10.20
           0.04           8.94          10.21
           0.04           8.89          10.22
           0.04           8.84          10.23
           0.04           8.78          10.24
           0.05           8.73          10.25
           0.05           8.68          10.26
           0.05           8.63          10.27
           0.05           8.57          10.28
           0.05           8.52          10.29
           0.06           8.47          10.30
           0.06           8.42          10.31
           0.06           8.37          10.31
           0.06           8.32          10.32
           0.06           8.27          10.33
           0.07           8.22          10.34
           0.07           8.17          10.35
           0.07           8.12          10.36
           0.07           8.07          10.37
           0.07           8.02          10.38
           0.08           7.97          10.38
           0.08           7.92          10.39
           0.08           7.88          10.40
           0.08           7.83          10.41
           0.08           7.78          10.42
           0.09           7.73          10.42
           0.09           7.68          10.43
           0.09           7.64          10.44
           0.09           7.59          10.45
           0.09           7.54          10.45
           0.10           7.50          10.46
           0.10           7.45          10.47
           0.10           7.41          10.48
           0.10           7.36          10.48
           0.10           7.31          10.49
           0.11           7.27          10.50
           0.11           7.22          10.50
           0.11           7.18          10.51
           0.11           7.14          10.52
           0.11           7.09          10.52
           0.12           7.05          10.53
           0.12           7.00          10.54
           0.12           6.96          10.54
           0.12           6.92          10.55
           0.12           6.87          10.56
           0.13           6.83          10.56
