------------------------------
      t       Prey   Predator
------------------------------
      0.00   1000.00    200.00
      1.00    963.00    279.00
      2.00    912.15    385.08
      3.00    844.64    523.65
      4.00    758.72    697.95
      5.00    655.08    906.28
      6.00    538.31   1139.22
      7.00    417.27   1378.83
      8.00    303.46   1602.07
      9.00    207.13   1788.53
     10.00    133.66   1927.77
     11.00     82.53   2021.20
     12.00     49.42   2077.82
     13.00     29.03   2108.50
     14.00     16.87   2122.44
     15.00      9.76   2126.15
     16.00      5.64   2123.82
     17.00      3.26   2118.00
     18.00      1.89   2110.17
     19.00      1.10   2101.21
     20.00      0.64   2091.63
     21.00      0.37   2081.71
     22.00      0.22   2071.61
     23.00      0.13   2061.43
     24.00      0.08   2051.23
     25.00      0.05   2041.04
     26.00      0.03   2030.87
     27.00      0.02   2020.74
     28.00      0.01   2010.65
     29.00      0.01   2000.60
     30.00      0.00   1990.60
     31.00      0.00   1980.65
     32.00      0.00   1970.75
     33.00      0.00   1960.90
     34.00      0.00   1951.10
     35.00      0.00   1941.34
     36.00      0.00   1931.63
     37.00      0.00   1921.98
     38.00      0.00   1912.37
     39.00      0.00   1902.80
     40.00      0.00   1893.29
     41.00      0.00   1883.82
     42.00      0.00   1874.40
     43.00      0.00   1865.03
     44.00      0.00   1855.71
     45.00      0.00   1846.43
     46.00      0.00   1837.20
     47.00      0.00   1828.01
     48.00      0.00   1818.87
     49.00      0.00   1809.78
     50.00      0.00   1800.73
     51.00      0.00   1791.72
     52.00      0.00   1782.77
     53.00      0.00   1773.85
     54.00      0.00   1764.98
     55.00      0.00   1756.16
     56.00      0.00   1747.38
     57.00      0.00   1738.64
     58.00      0.00   1729.95
     59.00      0.00   1721.30
     60.00      0.00   1712.69
     61.00      0.00   1704.13
     62.00      0.00   1695.61
     63.00      0.00   1687.13
     64.00      0.00   1678.69
     65.00      0.00   1670.30
     66.00      0.00   1661.95
     67.00      0.00   1653.64
     68.00      0.00   1645.37
     69.00      0.00   1637.14
     70.00      0.00   1628.96
     71.00      0.00   1620.81
     72.00      0.00   1612.71
     73.00      0.00   1604.64
     74.00      0.00   1596.62
     75.00      0.00   1588.64
     76.00      0.00   1580.70
     77.00      0.00   1572.79
     78.00      0.00   1564.93
     79.00      0.00   1557.10
     80.00      0.00   1549.32
     81.00      0.00   1541.57
     82.00      0.00   1533.86
     83.00      0.00   1526.19
     84.00      0.00   1518.56
     85.00      0.00   1510.97
     86.00      0.00   1503.42
     87.00      0.00   1495.90
     88.00      0.00   1488.42
     89.00      0.00   1480.98
     90.00      0.00   1473.57
     91.00      0.00   1466.20
     92.00      0.00   1458.87
     93.00      0.00   1451.58
     94.00      0.00   1444.32
     95.00      0.00   1437.10
     96.00      0.00   1429.91
     97.00      0.00   1422.76
     98.00      0.00   1415.65
     99.00      0.00   1408.57
    100.00      0.00   1401.53
    101.00      0.00   1394.52
    102.00      0.00   1387.55
    103.00      0.00   1380.61
    104.00      0.00   1373.71
    105.00      0.00   1366.84
    106.00      0.00   1360.01
    107.00      0.00   1353.21
    108.00      0.00   1346.44
    109.00      0.00   1339.71
    110.00      0.00   1333.01
    111.00      0.00   1326.34
    112.00      0.00   1319.71
    113.00      0.00   1313.11
    114.00      0.00   1306.55
    115.00      0.00   1300.01
    116.00      0.00   1293.51
    117.00      0.00   1287.05
    118.00      0.00   1280.61
    119.00      0.00   1274.21
    120.00      0.00   1267.84
    121.00      0.00   1261.50
    122.00      0.00   1255.19
    123.00      0.00   1248.92
    124.00      0.00   1242.67
    125.00      0.00   1236.46
    126.00      0.00   1230.27
    127.00      0.00   1224.12
    128.00      0.00   1218.00
    129.00      0.00   1211.91
    130.00      0.00   1205.85
    131.00      0.00   1199.82
    132.00      0.00   1193.82
    133.00      0.00   1187.86
    134.00      0.00   1181.92
    135.00      0.00   1176.01
    136.00      0.00   1170.13
    137.00      0.00   1164.28
    138.00      0.00   1158.45
    139.00      0.00   1152.66
    140.00      0.00   1146.90
    141.00      0.00   1141.16
    142.00      0.00   1135.46
    143.00      0.00   1129.78
    144.00      0.00   1124.13
    145.00      0.00   1118.51
    146.00      0.00   1112.92
    147.00      0.00   1107.35
    148.00      0.00   1101.82
    149.00      0.00   1096.31
    150.00      0.00   1090.83
    151.00      0.00   1085.37
    152.00      0.00   1079.95
    153.00      0.00   1074.55
    154.00      0.00   1069.17
    155.00      0.00   1063.83
    156.00      0.00   1058.51
    157.00      0.00   1053.22
    158.00      0.00   1047.95
    159.00      0.00   1042.71
    160.00      0.00   1037.50
    161.00      0.00   1032.31
    162.00      0.00   1027.15
    163.00      0.00   1022.01
    164.00      0.00   1016.90
    165.00      0.00   1011.82
    166.00      0.00   1006.76
    167.00      0.00   1001.72
    168.00      0.00    996.72
    169.00      0.00    991.73
    170.00      0.00    986.77
    171.00      0.00    981.84
    172.00      0.00    976.93
    173.00      0.00    972.05
    174.00      0.00    967.19
    175.00      0.00    962.35
    176.00      0.00    957.54
    177.00      0.00    952.75
    178.00      0.00    947.99
    179.00      0.00    943.25
    180.00      0.00    938.53
    181.00      0.00    933.84
    182.00      0.00    929.17
    183.00      0.00    924.52
    184.00      0.00    919.90
    185.00      0.00    915.30
    186.00      0.00    910.72
    187.00      0.00    906.17
    188.00      0.00    901.64
    189.00      0.00    897.13
    190.00      0.00    892.65
    191.00      0.00    888.18
    192.00      0.00    883.74
    193.00      0.00    879.32
    194.00      0.00    874.93
    195.00      0.00    870.55
    196.00      0.00    866.20
    197.00      0.00    861.87
    198.00      0.00    857.56
    199.00      0.00    853.27
    200.00      0.00    849.00
    201.00      0.00    844.76
    202.00      0.00    840.54
    203.00      0.00    836.33
    204.00      0.00    832.15
    205.00      0.00    827.99
    206.00      0.00    823.85
    207.00      0.00    819.73
    208.00      0.00    815.63
    209.00      0.00    811.55
    210.00      0.00    807.50
    211.00      0.00    803.46
    212.00      0.00    799.44
    213.00      0.00    795.45
    214.00      0.00    791.47
    215.00      0.00    787.51
    216.00      0.00    783.57
    217.00      0.00    779.66
    218.00      0.00    775.76
    219.00      0.00    771.88
    220.00      0.00    768.02
    221.00      0.00    764.18
    222.00      0.00    760.36
    223.00      0.00    756.56
    224.00      0.00    752.77
    225.00      0.00    749.01
    226.00      0.00    745.26
    227.00      0.00    741.54
    228.00      0.00    737.83
    229.00      0.00    734.14
    230.00      0.00    730.47
    231.00      0.00    726.82
    232.00      0.00    723.18
    233.00      0.00    719.57
    234.00      0.00    715.97
    235.00      0.00    712.39
    236.00      0.00    708.83
    237.00      0.00    705.28
    238.00      0.00    701.76
    239.00      0.00    698.25
    240.00      0.00    694.76
    241.00      0.00    691.28
    242.00      0.00    687.83
    243.00      0.00    684.39
    244.00      0.00    680.97
    245.00      0.00    677.56
    246.00      0.00    674.17
    247.00      0.00    670.80
    248.00      0.00    667.45
    249.00      0.00    664.11
    250.00      0.00    660.79
    251.00      0.00    657.49
    252.00      0.00    654.20
    253.00      0.00    650.93
    254.00      0.00    647.67
    255.00      0.00    644.44
    256.00      0.00    641.21
    257.00      0.00    638.01
    258.00      0.00    634.82
    259.00      0.00    631.64
    260.00      0.00    628.49
    261.00      0.00    625.34
    262.00      0.00    622.22
    263.00      0.00    619.10
    264.00      0.00    616.01
    265.00      0.00    612.93
    266.00      0.00    609.86
    267.00      0.00    606.82
    268.00      0.00    603.78
    269.00      0.00    600.76
    270.00      0.00    597.76
    271.00      0.00    594.77
    272.00      0.00    591.80
    273.00      0.00    588.84
