Quadrature pts   Integral value   Difference
         2       1.77932651       1.77932651
         3       1.02706235       0.75226416
         4       1.03224500       0.00518265
         5       1.06169102       0.02944602
         6       1.05749649       0.00419453
         7       1.05763955       0.00014306
         8       1.05765184       0.00001229
         9       1.05765067       0.00000118
        10       1.05765069       0.00000002

Number of quadrature points employed:10
Final value of the quadrature:    1.05765069
