           X           Y           Z      Gradient_Value Absolute_Difference
  1.00000000  3.00000000 15.24319750    0.1000000000E+01    0.1524319750E+02
  2.39572201  1.14616585  4.58969783    0.6927127592E+00    0.1065349968E+02
  2.29447101  1.04446533  4.58037107    0.1581080071E+00    0.9326756993E-02
  2.24498417  0.99498692  4.57925127    0.3881830590E-01    0.1119804852E-02
  2.22035199  0.97035199  4.57911239    0.9670514167E-02    0.1388731196E-03
  2.20808030  0.95808098  4.57909513    0.2411437716E-02    0.1726814488E-04
  2.20193061  0.95193061  4.57909296    0.6035865141E-03    0.2163828403E-05
  2.19887701  0.94887734  4.57909269    0.1505156000E-03    0.2687806129E-06
  2.19736402  0.94736410  4.57909266    0.3796563064E-04    0.3385216907E-07
  2.19654421  0.94654412  4.57909265    0.9830802838E-05    0.4579891133E-08
