 Atom              1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43            44            45            46            47            48            49            50            51            52            53            54            55            56            57            58            59            60 
     1    1.00000000    0.47584444    0.60100452    0.01648529    0.02830994   -0.05107190   -0.09685014   -0.03475777   -0.21262861    0.01648529    0.01648529    0.47584444   -0.05107190    0.02830994   -0.03475777   -0.09685014    0.04251856    0.09805252   -0.09685014   -0.03475777    0.04798338    0.00645775   -0.05157665   -0.01213339    0.04251856   -0.01213339   -0.09685014   -0.01213339   -0.02752069   -0.02752069    0.00625942    0.00625942   -0.21262861   -0.03475777    0.01648529    0.09805252    0.00645775    0.04798338   -0.01213339   -0.05157665    0.00000000    0.01298481   -0.00218108   -0.01107115    0.02914108   -0.00218108    0.01298481   -0.00218108    0.03028554    0.00194748    0.00645775   -0.02752069    0.03028554    0.04798338    0.04798338   -0.02752069    0.02914108    0.00645775    0.00194748   -0.00218108 
     2    0.47584444    1.00000000    0.01648529    0.60100452    0.01648529    0.47584444    0.01648529   -0.21262861   -0.03475777   -0.09685014    0.02830994   -0.05107190   -0.05107190    0.04798338    0.04798338   -0.09685014   -0.01213339    0.00645775    0.04798338    0.00194748    0.03028554    0.02914108   -0.00218108   -0.02752069    0.09805252    0.00645775   -0.03475777   -0.05157665   -0.00218108   -0.02752069    0.00625941    0.01298481    0.01648529   -0.09685014   -0.21262861    0.04251856   -0.01213339   -0.09685014    0.04251856   -0.01213339    0.01298481    0.00625942   -0.02752069   -0.00218108   -0.00218108   -0.01107115    0.00000000    0.02914108    0.00194748    0.03028554   -0.02752069    0.00645775    0.04798338    0.02830994   -0.03475777   -0.01213339    0.00645775    0.09805252   -0.03475777   -0.05157665 
     3    0.60100452    0.01648529    1.00000000   -0.21262861   -0.03475777   -0.09685014    0.04251856    0.09805252    0.01648529   -0.21262861    0.47584444    0.01648529   -0.09685014   -0.03475777    0.09805252    0.04251856   -0.09685014   -0.03475777   -0.05107190    0.02830994    0.04798338    0.00194748    0.00645775   -0.01213339   -0.09685014    0.04798338   -0.05107190    0.04798338    0.03028554    0.03028554   -0.02752069   -0.02752069    0.01648529    0.02830994    0.47584444   -0.03475777    0.00194748    0.04798338   -0.01213339    0.00645775   -0.01107115   -0.00218108    0.02914108    0.00000000   -0.00218108    0.02914108   -0.00218108    0.01298481   -0.02752069    0.00645775   -0.05157665    0.00625941   -0.02752069   -0.01213339   -0.01213339    0.00625942   -0.00218108   -0.05157665    0.00645775    0.01298481 
     4    0.01648529    0.60100452   -0.21262861    1.00000000    0.47584444    0.01648529   -0.21262861    0.01648529    0.09805252    0.04251856   -0.03475777   -0.09685014   -0.09685014   -0.01213339   -0.01213339    0.04251856   -0.01213339   -0.05157665    0.04798338    0.00645775   -0.02752069   -0.00218108    0.01298481    0.00625942   -0.03475777    0.00194748    0.02830994    0.00645775    0.02914108    0.03028554   -0.02752069   -0.00218108    0.47584444   -0.05107190    0.01648529   -0.09685014    0.04798338   -0.05107190   -0.09685014    0.04798338   -0.00218108   -0.02752069    0.03028554    0.02914108    0.01298481   -0.00000000   -0.01107115   -0.00218108    0.00645775   -0.02752069    0.00625942   -0.05157665    0.04798338   -0.03475777    0.09805252   -0.01213339    0.00194748   -0.03475777    0.02830994    0.00645775 
     5    0.02830994    0.01648529   -0.03475777    0.47584444    1.00000000   -0.21262861    0.01648529    0.60100452    0.00645775   -0.01213339    0.00194748    0.04798338   -0.03475777   -0.05157665    0.00645775    0.09805252   -0.02752069   -0.00218108    0.03028554    0.02914108   -0.00218108   -0.01107115    0.00000000    0.01298481    0.04798338    0.03028554    0.04798338   -0.02752069   -0.00218108    0.00194748    0.00645775    0.02914108   -0.05107190   -0.05107190   -0.09685014   -0.09685014   -0.03475777    0.47584444    0.01648529    0.02830994   -0.05157665   -0.01213339    0.04798338    0.00645775    0.00625942    0.01298481   -0.00218108   -0.02752069   -0.01213339   -0.02752069    0.00625942   -0.01213339   -0.09685014   -0.09685014    0.04251856    0.04251856   -0.03475777   -0.21262861    0.01648529    0.09805252 
     6   -0.05107190    0.47584444   -0.09685014    0.01648529   -0.21262861    1.00000000    0.60100452    0.01648529    0.04798338   -0.09685014    0.04798338   -0.05107190    0.47584444   -0.03475777    0.02830994    0.01648529   -0.02752069   -0.02752069    0.03028554    0.03028554    0.00194748   -0.00218108    0.02914108    0.00645775    0.00645775    0.02914108    0.00194748   -0.00218108   -0.01107115   -0.00218108    0.01298481    0.00000000    0.02830994    0.04798338   -0.03475777   -0.01213339   -0.05157665   -0.03475777    0.09805252    0.00645775    0.00625942    0.00625942   -0.02752069   -0.02752069   -0.05157665   -0.00218108    0.01298481    0.00645775   -0.03475777    0.04798338   -0.01213339    0.09805252   -0.09685014    0.01648529   -0.21262861    0.04251856   -0.01213339    0.04251856   -0.09685014   -0.01213339 
     7   -0.09685014    0.01648529    0.04251856   -0.21262861    0.01648529    0.60100452    1.00000000    0.47584444   -0.01213339    0.04251856   -0.01213339   -0.09685014    0.01648529    0.09805252   -0.03475777   -0.21262861    0.00625942    0.00625942   -0.02752069   -0.02752069    0.00645775    0.01298481   -0.00218108   -0.05157665   -0.05157665   -0.00218108    0.00645775    0.01298481    0.00000000    0.02914108   -0.00218108   -0.01107115   -0.03475777    0.04798338    0.09805252   -0.01213339    0.00645775    0.02830994   -0.03475777    0.00194748   -0.02752069   -0.02752069    0.03028554    0.03028554    0.00645775    0.02914108   -0.00218108    0.00194748    0.02830994    0.04798338   -0.01213339   -0.03475777   -0.05107190    0.47584444    0.01648529   -0.09685014    0.04798338   -0.09685014   -0.05107190    0.04798338 
     8   -0.03475777   -0.21262861    0.09805252    0.01648529    0.60100452    0.01648529    0.47584444    1.00000000   -0.05157665   -0.01213339    0.00645775    0.04798338    0.02830994    0.00645775    0.00194748   -0.03475777    0.00625942    0.01298481   -0.02752069   -0.00218108    0.02914108   -0.00000000   -0.01107115   -0.00218108   -0.01213339   -0.02752069   -0.01213339    0.00625942    0.01298481    0.00645775   -0.05157665   -0.00218108   -0.09685014   -0.09685014    0.04251856    0.04251856    0.09805252    0.01648529   -0.21262861   -0.03475777    0.00645775   -0.01213339    0.04798338    0.00194748   -0.02752069   -0.00218108    0.02914108    0.03028554    0.04798338    0.03028554   -0.02752069    0.04798338   -0.05107190   -0.05107190   -0.09685014   -0.09685014    0.02830994    0.01648529    0.47584444   -0.03475777 
     9   -0.21262861   -0.03475777    0.01648529    0.09805252    0.00645775    0.04798338   -0.01213339   -0.05157665    1.00000000    0.47584444    0.60100452    0.01648529    0.02830994   -0.05107190   -0.09685014   -0.03475777   -0.21262861    0.01648529    0.01648529    0.47584444   -0.05107190    0.02830994   -0.03475777   -0.09685014    0.04251856    0.09805252   -0.09685014   -0.03475777    0.04798338    0.00645775   -0.05157665   -0.01213339    0.04251856   -0.01213339   -0.09685014   -0.01213339   -0.02752069   -0.02752069    0.00625942    0.00625942    0.02914108   -0.00218108    0.01298481   -0.00218108    0.03028554    0.00194748    0.00645775   -0.02752069    0.03028554    0.04798338    0.04798338   -0.02752069    0.02914108    0.00645775    0.00194748   -0.00218108    0.00000000    0.01298481   -0.00218108   -0.01107115 
    10    0.01648529   -0.09685014   -0.21262861    0.04251856   -0.01213339   -0.09685014    0.04251856   -0.01213339    0.47584444    1.00000000    0.01648529    0.60100452    0.01648529    0.47584444    0.01648529   -0.21262861   -0.03475777   -0.09685014    0.02830994   -0.05107190   -0.05107190    0.04798338    0.04798338   -0.09685014   -0.01213339    0.00645775    0.04798338    0.00194748    0.03028554    0.02914108   -0.00218108   -0.02752069    0.09805252    0.00645775   -0.03475777   -0.05157665   -0.00218108   -0.02752069    0.00625942    0.01298481   -0.00218108   -0.01107115   -0.00000000    0.02914108    0.00194748    0.03028554   -0.02752069    0.00645775    0.04798338    0.02830994   -0.03475777   -0.01213339    0.00645775    0.09805252   -0.03475777   -0.05157665    0.01298481    0.00625942   -0.02752069   -0.00218108 
