     Eigenstate        Energy     Occupancy
 ------------------------------------------
    -2.30277564   -9.55777949    0.00000000
    -1.61803399  -10.10557281    0.00000000
    -1.30277564  -10.35777949    0.00000000
    -1.00000000  -10.60000000    0.00000000
    -0.61803399  -10.90557281    0.00000000
     0.61803399  -11.89442719    2.00000000
     1.00000000  -12.20000000    2.00000000
     1.30277564  -12.44222051    2.00000000
     1.61803399  -12.69442719    2.00000000
     2.30277564  -13.24222051    2.00000000
