 Atom              1             2             3             4             5             6             7             8             9            10 
     1    1.00000000    0.60316515    0.72456369   -0.00000000   -0.24088330    0.00000000   -0.16986350   -0.00000000    0.15595155    0.00000000 
     2    0.60316515    1.00000000   -0.00000000   -0.24088330   -0.00000000    0.72456369    0.00000000    0.15595155   -0.00000000   -0.16986350 
     3    0.72456369   -0.00000000    1.00000000    0.55470020   -0.00000000   -0.36228185    0.00000000   -0.16986350   -0.00000000    0.08493175 
     4   -0.00000000   -0.24088330    0.55470020    1.00000000    0.51823340    0.00000000    0.55470020    0.00000000   -0.24088330   -0.00000000 
     5   -0.24088330   -0.00000000   -0.00000000    0.51823340    1.00000000    0.55470020    0.00000000   -0.24088330   -0.00000000    0.55470020 
     6    0.00000000    0.72456369   -0.36228185    0.00000000    0.55470020    1.00000000    0.08493175   -0.00000000   -0.16986350    0.00000000 
     7   -0.16986350    0.00000000    0.00000000    0.55470020    0.00000000    0.08493175    1.00000000    0.72456369    0.00000000   -0.36228185 
     8   -0.00000000    0.15595155   -0.16986350    0.00000000   -0.24088330   -0.00000000    0.72456369    1.00000000    0.60316515   -0.00000000 
     9    0.15595155   -0.00000000   -0.00000000   -0.24088330   -0.00000000   -0.16986350    0.00000000    0.60316515    1.00000000    0.72456369 
    10    0.00000000   -0.16986350    0.08493175   -0.00000000    0.55470020    0.00000000   -0.36228185   -0.00000000    0.72456369    1.00000000 
