     Eigenstate        Energy     Occupancy
 ------------------------------------------
    -2.53208889   -9.37432889    0.00000000
    -2.00000000   -9.80000000    0.00000000
    -1.80193774   -9.95844981    0.00000000
    -1.34729636  -10.32216292    0.00000000
    -1.24697960  -10.40241632    0.00000000
    -1.00000000  -10.60000000    0.00000000
    -0.87938524  -10.69649181    0.00000000
    -0.44504187  -11.04396651    0.00000000
     0.44504187  -11.75603349    2.00000000
     0.87938524  -12.10350819    2.00000000
     1.00000000  -12.20000000    2.00000000
     1.24697960  -12.39758368    2.00000000
     1.34729636  -12.47783708    2.00000000
     1.80193774  -12.84155019    2.00000000
     2.00000000  -13.00000000    2.00000000
     2.53208889  -13.42567111    2.00000000
