 Atom              1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16 
     1    1.00000000    0.66948700    0.59435033    0.00000000   -0.27676891    0.00000000   -0.02868350    0.00000000    0.17950052   -0.00000000   -0.00000000   -0.20818402   -0.00000000    0.15858426   -0.00000000   -0.14283234 
     2    0.66948700    1.00000000   -0.00000000   -0.23460373   -0.00000000    0.66948700   -0.00000000    0.08861836    0.00000000   -0.11730186   -0.11730186    0.00000000    0.08861836    0.00000000   -0.07286644   -0.00000000 
     3    0.59435033   -0.00000000    1.00000000    0.52350164   -0.00000000   -0.27676891   -0.00000000   -0.08063369    0.00000000    0.02003346    0.50346817    0.00000000   -0.16690162    0.00000000    0.08861836    0.00000000 
     4    0.00000000   -0.23460373    0.52350164    1.00000000    0.52350164    0.00000000    0.53643322   -0.00000000   -0.23178339   -0.00000000   -0.00000000   -0.23178339   -0.00000000   -0.02868350   -0.00000000   -0.02868350 
     5   -0.27676891   -0.00000000   -0.00000000    0.52350164    1.00000000    0.59435033   -0.00000000   -0.16690162    0.00000000    0.50346817    0.02003346    0.00000000   -0.08063369   -0.00000000    0.08861836   -0.00000000 
     6    0.00000000    0.66948700   -0.27676891    0.00000000    0.59435033    1.00000000   -0.02868350   -0.00000000   -0.20818402   -0.00000000   -0.00000000    0.17950052   -0.00000000   -0.14283234    0.00000000    0.15858426 
     7   -0.02868350   -0.00000000   -0.00000000    0.53643322   -0.00000000   -0.02868350    1.00000000    0.52350164   -0.00000000   -0.23178339   -0.23178339    0.00000000    0.52350164   -0.00000000   -0.23460373    0.00000000 
     8    0.00000000    0.08861836   -0.08063369   -0.00000000   -0.16690162   -0.00000000    0.52350164    1.00000000    0.50346817    0.00000000    0.00000000    0.02003346   -0.00000000   -0.27676891    0.00000000    0.59435033 
     9    0.17950052    0.00000000    0.00000000   -0.23178339    0.00000000   -0.20818402   -0.00000000    0.50346817    1.00000000    0.77653396   -0.00831735   -0.00000000    0.02003346   -0.00000000   -0.11730186    0.00000000 
    10   -0.00000000   -0.11730186    0.02003346   -0.00000000    0.50346817   -0.00000000   -0.23178339    0.00000000    0.77653396    1.00000000    0.00000000   -0.00831735    0.00000000    0.17950052   -0.00000000   -0.20818402 
    11   -0.00000000   -0.11730186    0.50346817   -0.00000000    0.02003346   -0.00000000   -0.23178339    0.00000000   -0.00831735    0.00000000    1.00000000    0.77653396    0.00000000   -0.20818402    0.00000000    0.17950052 
    12   -0.20818402    0.00000000    0.00000000   -0.23178339    0.00000000    0.17950052    0.00000000    0.02003346   -0.00000000   -0.00831735    0.77653396    1.00000000    0.50346817   -0.00000000   -0.11730186   -0.00000000 
    13   -0.00000000    0.08861836   -0.16690162   -0.00000000   -0.08063369   -0.00000000    0.52350164   -0.00000000    0.02003346    0.00000000    0.00000000    0.50346817    1.00000000    0.59435033   -0.00000000   -0.27676891 
    14    0.15858426    0.00000000    0.00000000   -0.02868350   -0.00000000   -0.14283234   -0.00000000   -0.27676891   -0.00000000    0.17950052   -0.20818402   -0.00000000    0.59435033    1.00000000    0.66948700    0.00000000 
    15   -0.00000000   -0.07286644    0.08861836   -0.00000000    0.08861836    0.00000000   -0.23460373    0.00000000   -0.11730186   -0.00000000    0.00000000   -0.11730186   -0.00000000    0.66948700    1.00000000    0.66948700 
    16   -0.14283234   -0.00000000    0.00000000   -0.02868350   -0.00000000    0.15858426    0.00000000    0.59435033    0.00000000   -0.20818402    0.17950052   -0.00000000   -0.27676891    0.00000000    0.66948700    1.00000000 
